X,Y,OBJECTID,Mile,Section_Name,FolderPath,Region
-116.734436,33.8501798,"3979",192,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.7371688,33.8479221000001,"3980",191.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.967500025,34.2993072130001,"3981",284,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-116.7382004,33.8446297,"3982",191,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.7295942,33.8384626000001,"3983",190,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-121.8685844,45.5118508,"3984",2126,OR Section G Mile Marker,Mile Marker/4 - Oregon/OR Section G,Oregon Mile Marker
-119.575227,38.2120019000001,"3985",1002,CA Section I Mile Marker,Mile Marker/2 - Central California/CA Section I,Central California Mile Marker
-117.986584974,35.6939746,"3986",658,CA Section G Mile Marker,Mile Marker/2 - Central California/CA Section G,Central California Mile Marker
-117.8193136,34.3406198000001,"3987",382.5,CA Section D Mile Marker,Mile Marker/1 - Southern California/CA Section D,Southern California Mile Marker
-116.701635,33.8150842000001,"3988",187,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-116.909817867,34.2833828340001,"3989",278,CA Section C Mile Marker,Mile Marker/1 - Southern California/CA Section C,Southern California Mile Marker
-119.8762503,38.6063764,"3990",1063.5,CA Section J Mile Marker,Mile Marker/2 - Central California/CA Section J,Central California Mile Marker
-118.0703031,35.6342201000001,"3991",646.5,CA Section F Mile Marker,Mile Marker/1 - Southern California/CA Section F,Southern California Mile Marker
-116.6984985,33.8112695,"3992",186.5,CA Section B Mile Marker,Mile Marker/1 - Southern California/CA Section B,Southern California Mile Marker
-118.641112495,34.7453257700001,"3993",512,CA Section E Mile Marker,Mile Marker/1 - Southern California/CA Section E,Southern California Mile Marker
-122.1713965,42.687894,"3994",1805.5,OR Section C Mile Marker,Mile Marker/4 - Oregon/OR Section C,Oregon Mile Marker
-121.262504204,39.997017054,"3995",1285.5,CA Section M Mile Marker,Mile Marker/3 - Northern California/CA Section M,Northern California Mile Marker
-121.848432632,41.177136481,"3996",1450,CA Section O Mile Marker,Mile Marker/3 - Northern California/CA Section O,Northern California Mile Marker
